id,publication_year,cited_by_count,authors
https://openalex.org/W2992434016,2019,50,['https://openalex.org/A5015770363']
https://openalex.org/W2513392956,2017,49,"['https://openalex.org/A5028792261', 'https://openalex.org/A5052947203', 'https://openalex.org/A5002417952', 'https://openalex.org/A5053602348', 'https://openalex.org/A5033036404', 'https://openalex.org/A5083205192', 'https://openalex.org/A5034721063', 'https://openalex.org/A5017069683']"
https://openalex.org/W2800048244,2018,46,"['https://openalex.org/A5071165387', 'https://openalex.org/A5016057473', 'https://openalex.org/A5057803453']"
https://openalex.org/W2735474825,2018,45,"['https://openalex.org/A5080267104', 'https://openalex.org/A5086073834']"
https://openalex.org/W3092775865,2020,43,"['https://openalex.org/A5035441361', 'https://openalex.org/A5081236916', 'https://openalex.org/A5061528283', 'https://openalex.org/A5004177513', 'https://openalex.org/A5066621495', 'https://openalex.org/A5027171279', 'https://openalex.org/A5048877432']"
https://openalex.org/W2954420884,2019,40,['https://openalex.org/A5058700879']
https://openalex.org/W3009095382,2020,39,"['https://openalex.org/A5032463780', 'https://openalex.org/A5078515950', 'https://openalex.org/A5084505122']"
https://openalex.org/W3025002824,2020,36,"['https://openalex.org/A5004892784', 'https://openalex.org/A5045705124', 'https://openalex.org/A5028327260', 'https://openalex.org/A5054043838', 'https://openalex.org/A5023796355', 'https://openalex.org/A5076653924', 'https://openalex.org/A5086453253']"
https://openalex.org/W3049379054,2020,33,"['https://openalex.org/A5081236916', 'https://openalex.org/A5051330675', 'https://openalex.org/A5013844034', 'https://openalex.org/A5017401263', 'https://openalex.org/A5048877432']"
https://openalex.org/W3138682039,2021,33,"['https://openalex.org/A5071165387', 'https://openalex.org/A5016057473', 'https://openalex.org/A5090030525', 'https://openalex.org/A5023753116', 'https://openalex.org/A5067567133']"
https://openalex.org/W3174004012,2021,26,"['https://openalex.org/A5035441361', 'https://openalex.org/A5024183744', 'https://openalex.org/A5016313702', 'https://openalex.org/A5079937813', 'https://openalex.org/A5066359113', 'https://openalex.org/A5027171279', 'https://openalex.org/A5048877432', 'https://openalex.org/A5046597133', 'https://openalex.org/A5081236916']"
https://openalex.org/W4211001454,2022,18,"['https://openalex.org/A5091329933', 'https://openalex.org/A5014956855', 'https://openalex.org/A5082548349', 'https://openalex.org/A5067874735', 'https://openalex.org/A5059939086', 'https://openalex.org/A5033328555', 'https://openalex.org/A5061970875', 'https://openalex.org/A5041746597']"
https://openalex.org/W4207052662,2022,14,"['https://openalex.org/A5035107313', 'https://openalex.org/A5058348013', 'https://openalex.org/A5070850590', 'https://openalex.org/A5035455593', 'https://openalex.org/A5071165387']"
https://openalex.org/W2041910615,2006,86,"['https://openalex.org/A5007138994', 'https://openalex.org/A5048877432', 'https://openalex.org/A5030305033']"
https://openalex.org/W2165412850,2011,58,"['https://openalex.org/A5002787525', 'https://openalex.org/A5006476793', 'https://openalex.org/A5071165387']"
https://openalex.org/W2065340646,2013,55,"['https://openalex.org/A5003031572', 'https://openalex.org/A5048877432', 'https://openalex.org/A5030305033']"
https://openalex.org/W1971505203,2013,52,"['https://openalex.org/A5080267104', 'https://openalex.org/A5017765466', 'https://openalex.org/A5052717630', 'https://openalex.org/A5058735228']"
https://openalex.org/W2049657780,2012,48,"['https://openalex.org/A5090645162', 'https://openalex.org/A5071165387']"
https://openalex.org/W2582919740,2017,46,"['https://openalex.org/A5033639139', 'https://openalex.org/A5043228682', 'https://openalex.org/A5076259865', 'https://openalex.org/A5058412746']"
https://openalex.org/W2952129646,2014,46,"['https://openalex.org/A5033639139', 'https://openalex.org/A5011012964', 'https://openalex.org/A5087088138']"
https://openalex.org/W1578429505,2014,45,"['https://openalex.org/A5022148961', 'https://openalex.org/A5051323783', 'https://openalex.org/A5059840085']"
https://openalex.org/W2768731445,2017,44,"['https://openalex.org/A5058700879', 'https://openalex.org/A5009212094', 'https://openalex.org/A5071769816']"
https://openalex.org/W2558100504,2017,43,"['https://openalex.org/A5048877432', 'https://openalex.org/A5082391569', 'https://openalex.org/A5036046552', 'https://openalex.org/A5013844034', 'https://openalex.org/A5013727792']"
https://openalex.org/W1072274988,2015,42,"['https://openalex.org/A5028792261', 'https://openalex.org/A5002417952', 'https://openalex.org/A5083205192', 'https://openalex.org/A5005007108', 'https://openalex.org/A5048296639', 'https://openalex.org/A5066995499', 'https://openalex.org/A5017992738', 'https://openalex.org/A5034721063']"
https://openalex.org/W2143049547,2015,42,"['https://openalex.org/A5058700879', 'https://openalex.org/A5042498941']"
https://openalex.org/W2921402195,2019,35,"['https://openalex.org/A5000683102', 'https://openalex.org/A5060055160', 'https://openalex.org/A5071165387', 'https://openalex.org/A5024018027']"
https://openalex.org/W2980350050,2019,35,"['https://openalex.org/A5032463780', 'https://openalex.org/A5051667815', 'https://openalex.org/A5005702955']"
https://openalex.org/W2874496232,2019,32,"['https://openalex.org/A5071165387', 'https://openalex.org/A5067567133']"
https://openalex.org/W2973480403,2020,30,"['https://openalex.org/A5014511140', 'https://openalex.org/A5048059617', 'https://openalex.org/A5082961171', 'https://openalex.org/A5074283953', 'https://openalex.org/A5019994365', 'https://openalex.org/A5073902328', 'https://openalex.org/A5074794877', 'https://openalex.org/A5059840085', 'https://openalex.org/A5017949231']"
https://openalex.org/W3097141316,2020,30,"['https://openalex.org/A5056886170', 'https://openalex.org/A5061725223', 'https://openalex.org/A5038590383', 'https://openalex.org/A5057801018', 'https://openalex.org/A5091756384', 'https://openalex.org/A5003581663']"
https://openalex.org/W3114914047,2021,22,"['https://openalex.org/A5072651383', 'https://openalex.org/A5043228682', 'https://openalex.org/A5076259865', 'https://openalex.org/A5033639139']"
https://openalex.org/W3168584517,2021,21,"['https://openalex.org/A5032463780', 'https://openalex.org/A5078515950', 'https://openalex.org/A5084505122']"
https://openalex.org/W4214848916,2022,11,"['https://openalex.org/A5023753116', 'https://openalex.org/A5071165387', 'https://openalex.org/A5002592195', 'https://openalex.org/A5020901777']"
https://openalex.org/W4297534160,2022,11,"['https://openalex.org/A5061137675', 'https://openalex.org/A5015770363', 'https://openalex.org/A5072966038']"
https://openalex.org/W1992123715,2004,64,"['https://openalex.org/A5030805884', 'https://openalex.org/A5071165387', 'https://openalex.org/A5009663125']"
https://openalex.org/W2035236032,2006,63,"['https://openalex.org/A5071165387', 'https://openalex.org/A5037695214', 'https://openalex.org/A5022967411']"
https://openalex.org/W2065041597,2007,59,"['https://openalex.org/A5030305033', 'https://openalex.org/A5007138994', 'https://openalex.org/A5090016322', 'https://openalex.org/A5001826570', 'https://openalex.org/A5023653132', 'https://openalex.org/A5048877432']"
https://openalex.org/W2012654743,2008,56,"['https://openalex.org/A5048660530', 'https://openalex.org/A5081581970', 'https://openalex.org/A5088422764', 'https://openalex.org/A5071165387']"
https://openalex.org/W2052195926,2007,55,"['https://openalex.org/A5026316580', 'https://openalex.org/A5059840085', 'https://openalex.org/A5069893226', 'https://openalex.org/A5020057874', 'https://openalex.org/A5066014869']"
https://openalex.org/W1787735662,2012,42,"['https://openalex.org/A5085451600', 'https://openalex.org/A5017982658', 'https://openalex.org/A5033639139', 'https://openalex.org/A5049246408', 'https://openalex.org/A5003887059', 'https://openalex.org/A5058071755', 'https://openalex.org/A5023765219', 'https://openalex.org/A5029105520']"
https://openalex.org/W2080366222,2013,41,"['https://openalex.org/A5011229206', 'https://openalex.org/A5026686084', 'https://openalex.org/A5048877432', 'https://openalex.org/A5067118505']"
https://openalex.org/W1969199540,2013,38,"['https://openalex.org/A5009663125', 'https://openalex.org/A5063297679', 'https://openalex.org/A5071165387', 'https://openalex.org/A5006476793', 'https://openalex.org/A5062769472', 'https://openalex.org/A5022967411']"
https://openalex.org/W2091651260,2012,38,"['https://openalex.org/A5000683102', 'https://openalex.org/A5014088619', 'https://openalex.org/A5071165387', 'https://openalex.org/A5033887103']"
https://openalex.org/W2327747389,2017,35,"['https://openalex.org/A5058700879', 'https://openalex.org/A5007153226']"
https://openalex.org/W2503660362,2016,33,"['https://openalex.org/A5081236916', 'https://openalex.org/A5085176949', 'https://openalex.org/A5000640231', 'https://openalex.org/A5084477147', 'https://openalex.org/A5081479937', 'https://openalex.org/A5039092283', 'https://openalex.org/A5064297795', 'https://openalex.org/A5027171279', 'https://openalex.org/A5048877432']"
https://openalex.org/W2806917745,2018,29,"['https://openalex.org/A5025105803', 'https://openalex.org/A5080267104', 'https://openalex.org/A5028950652']"
https://openalex.org/W3105239586,2019,27,"['https://openalex.org/A5026198819', 'https://openalex.org/A5033639139', 'https://openalex.org/A5091272738']"
https://openalex.org/W2956603544,2019,26,['https://openalex.org/A5015770363']
https://openalex.org/W3024446855,2020,26,"['https://openalex.org/A5028327260', 'https://openalex.org/A5054043838', 'https://openalex.org/A5023796355', 'https://openalex.org/A5045705124', 'https://openalex.org/A5004892784', 'https://openalex.org/A5076653924', 'https://openalex.org/A5086453253']"
https://openalex.org/W2981907370,2020,25,"['https://openalex.org/A5076887081', 'https://openalex.org/A5080267104']"
https://openalex.org/W3041035410,2020,25,"['https://openalex.org/A5026662607', 'https://openalex.org/A5037101148', 'https://openalex.org/A5000868394', 'https://openalex.org/A5088539840', 'https://openalex.org/A5048877432', 'https://openalex.org/A5084485442', 'https://openalex.org/A5072930694', 'https://openalex.org/A5034827139', 'https://openalex.org/A5067118505']"
https://openalex.org/W3099549037,2020,24,"['https://openalex.org/A5035107313', 'https://openalex.org/A5058348013', 'https://openalex.org/A5070850590', 'https://openalex.org/A5035455593', 'https://openalex.org/A5071165387']"
https://openalex.org/W3031170804,2020,22,"['https://openalex.org/A5023363049', 'https://openalex.org/A5033639139', 'https://openalex.org/A5090570042']"
https://openalex.org/W3108882734,2020,22,"['https://openalex.org/A5060601483', 'https://openalex.org/A5080442510', 'https://openalex.org/A5054052605']"
https://openalex.org/W4206910568,2021,17,"['https://openalex.org/A5077513889', 'https://openalex.org/A5081061938', 'https://openalex.org/A5003675850', 'https://openalex.org/A5058797533']"
https://openalex.org/W2134378943,2010,43,"['https://openalex.org/A5031973253', 'https://openalex.org/A5020819058', 'https://openalex.org/A5049482441', 'https://openalex.org/A5061970875', 'https://openalex.org/A5066439685']"
https://openalex.org/W1592170892,2009,38,"['https://openalex.org/A5048877432', 'https://openalex.org/A5049079205', 'https://openalex.org/A5054906154', 'https://openalex.org/A5030305033', 'https://openalex.org/A5007138994']"
https://openalex.org/W1989080863,2012,34,"['https://openalex.org/A5048877432', 'https://openalex.org/A5082391569', 'https://openalex.org/A5079574630', 'https://openalex.org/A5039448366', 'https://openalex.org/A5015781386', 'https://openalex.org/A5030305033', 'https://openalex.org/A5027171279', 'https://openalex.org/A5067118505']"
https://openalex.org/W2108825477,2012,34,"['https://openalex.org/A5023735760', 'https://openalex.org/A5048877432', 'https://openalex.org/A5049079205', 'https://openalex.org/A5030305033']"
https://openalex.org/W2147841915,2011,33,"['https://openalex.org/A5059840085', 'https://openalex.org/A5073902328', 'https://openalex.org/A5018292103']"
https://openalex.org/W3124714522,2014,31,"['https://openalex.org/A5042551745', 'https://openalex.org/A5071165387', 'https://openalex.org/A5002330321', 'https://openalex.org/A5088555912', 'https://openalex.org/A5074388586', 'https://openalex.org/A5017467806', 'https://openalex.org/A5078902586', 'https://openalex.org/A5035203700']"
https://openalex.org/W2491003726,2016,29,"['https://openalex.org/A5052947203', 'https://openalex.org/A5053602348', 'https://openalex.org/A5017069683', 'https://openalex.org/A5028792261', 'https://openalex.org/A5034721063', 'https://openalex.org/A5066995499', 'https://openalex.org/A5002417952']"
https://openalex.org/W2538746112,2016,29,"['https://openalex.org/A5032991538', 'https://openalex.org/A5036008436', 'https://openalex.org/A5059840085']"
https://openalex.org/W2298529068,2016,27,"['https://openalex.org/A5023735760', 'https://openalex.org/A5049079205', 'https://openalex.org/A5048877432', 'https://openalex.org/A5027171279', 'https://openalex.org/A5030305033']"
https://openalex.org/W2586242862,2017,27,"['https://openalex.org/A5005554590', 'https://openalex.org/A5042339914', 'https://openalex.org/A5074010739', 'https://openalex.org/A5061970875', 'https://openalex.org/A5072847592', 'https://openalex.org/A5089964743', 'https://openalex.org/A5009277635', 'https://openalex.org/A5014105109']"
https://openalex.org/W2800794331,2018,27,"['https://openalex.org/A5025105803', 'https://openalex.org/A5080267104', 'https://openalex.org/A5028950652']"
https://openalex.org/W1961143607,2015,26,"['https://openalex.org/A5026766354', 'https://openalex.org/A5030305033', 'https://openalex.org/A5048877432', 'https://openalex.org/A5089685693', 'https://openalex.org/A5009232244']"
https://openalex.org/W2076144393,2016,26,"['https://openalex.org/A5002417952', 'https://openalex.org/A5028792261', 'https://openalex.org/A5083205192', 'https://openalex.org/A5034721063', 'https://openalex.org/A5065962800', 'https://openalex.org/A5066995499']"
