Author,Community,Degree
https://openalex.org/A5000972803,17,9
https://openalex.org/A5050425933,9,10
https://openalex.org/A5047236763,17,13
https://openalex.org/A5047892097,3,2
https://openalex.org/A5029130731,9,6
https://openalex.org/A5002634715,5,3
https://openalex.org/A5080392444,9,3
https://openalex.org/A5001546632,4,3
https://openalex.org/A5065692438,17,68
https://openalex.org/A5017013490,17,10
https://openalex.org/A5046083717,4,4
https://openalex.org/A5089137896,9,8
https://openalex.org/A5061483794,3,7
https://openalex.org/A5027446138,5,1
https://openalex.org/A5021586049,4,3
https://openalex.org/A5089674152,42,5
https://openalex.org/A5000706062,44,11
https://openalex.org/A5070155789,4,3
https://openalex.org/A5026523515,44,22
https://openalex.org/A5022864630,4,3
https://openalex.org/A5013836248,10,31
https://openalex.org/A5040820784,31,83
https://openalex.org/A5022885747,4,1
https://openalex.org/A5045799059,44,8
https://openalex.org/A5088496042,42,6
https://openalex.org/A5058485951,5,2
https://openalex.org/A5083601838,42,4
https://openalex.org/A5088115674,42,4
https://openalex.org/A5019194137,4,3
https://openalex.org/A5078866513,4,2
https://openalex.org/A5010955358,0,14
https://openalex.org/A5089005336,5,1
https://openalex.org/A5087366916,14,19
https://openalex.org/A5067778879,31,12
https://openalex.org/A5075752770,6,6
https://openalex.org/A5011166102,42,4
https://openalex.org/A5041695925,44,23
https://openalex.org/A5079458476,31,17
https://openalex.org/A5044195673,42,9
https://openalex.org/A5063802925,3,3
https://openalex.org/A5003579441,30,7
https://openalex.org/A5009073713,42,4
https://openalex.org/A5078273409,30,7
https://openalex.org/A5080592530,31,12
https://openalex.org/A5047726306,30,5
https://openalex.org/A5012545488,42,8
https://openalex.org/A5036178668,44,6
https://openalex.org/A5025159160,3,2
https://openalex.org/A5026197656,6,31
https://openalex.org/A5044743855,5,3
https://openalex.org/A5021570361,14,3
https://openalex.org/A5070920982,18,23
https://openalex.org/A5043488627,5,1
https://openalex.org/A5058305379,3,6
https://openalex.org/A5048061268,42,5
https://openalex.org/A5039038180,42,8
https://openalex.org/A5053300677,6,20
https://openalex.org/A5049146608,42,3
https://openalex.org/A5051058073,42,8
https://openalex.org/A5023397430,31,10
https://openalex.org/A5032452253,3,1
https://openalex.org/A5053918463,42,8
https://openalex.org/A5035714052,31,9
https://openalex.org/A5000032128,42,8
https://openalex.org/A5091877690,42,8
https://openalex.org/A5037837738,33,11
https://openalex.org/A5073544378,17,24
